entity,code,year,gdp_pc,democracy_index,capital_latitude,capital_longitude,population_density,log_population_density,log_population_density_normalized_on_average,democracy_index_normalized_on_average,initial_state
Afghanistan,AFG,2020,2078.48,2.85,34.52,69.18,59.63,4.09,0.95,0.52,0
Albania,ALB,2020,13632.19,5.89,41.32,19.82,103.57,4.64,1.07,1.08,0
Algeria,DZA,2020,11323.31,4.01,36.75,3.05,18.41,2.91,0.67,0.73,0
Angola,AGO,2020,6478.33,3.72,-8.83,13.22,26.36,3.27,0.76,0.68,0
Argentina,ARG,2020,20769.03,7.02,-34.58,-58.67,16.58,2.81,0.65,1.29,0
Australia,AUS,2020,53316.89,9.09,-35.27,149.13,3.34,1.21,0.28,1.67,0
Austria,AUT,2020,55685.97,8.29,48.2,16.37,108.06,4.68,1.08,1.52,0
Azerbaijan,AZE,2020,14478.52,2.75,40.38,49.87,122.11,4.8,1.11,0.5,0
Bahrain,BHR,2020,43821.12,2.55,26.23,50.57,2181.52,7.69,1.78,0.47,1
Bangladesh,BGD,2020,5995.41,5.88,23.72,90.4,1265.19,7.14,1.65,1.08,0
Barbados,BRB,2020,14045.77,8,13.1,-59.62,668.3,6.5,1.51,1.47,0
Belarus,BLR,2020,20237.55,2.48,53.9,27.57,46.21,3.83,0.89,0.45,0
Belgium,BEL,2020,53070.21,7.64,50.83,4.33,381.25,5.94,1.38,1.4,0
Benin,BEN,2020,3505.14,5.09,6.48,2.62,107.51,4.68,1.08,0.93,0
Bhutan,BTN,2020,11129.31,5.3,27.47,89.63,20.23,3.01,0.7,0.97,0
Bolivia,BOL,2020,8283.13,4.84,-16.5,-68.15,10.78,2.38,0.55,0.89,0
Bosnia and Herzegovina,BIH,2020,15598.43,4.86,43.87,18.42,64.08,4.16,0.96,0.89,0
Botswana,BWA,2020,15471.09,7.81,-24.63,25.9,4.15,1.42,0.33,1.43,0
Brazil,BRA,2020,14834.19,6.86,-15.78,-47.92,25.43,3.24,0.75,1.26,0
Bulgaria,BGR,2020,24564.44,7.03,42.68,23.32,63.87,4.16,0.96,1.29,0
Burkina Faso,BFA,2020,2273.83,4.04,12.37,-1.52,76.4,4.34,1,0.74,0
Burundi,BDI,2020,771.1,2.15,-3.37,29.35,463.04,6.14,1.42,0.39,0
Cambodia,KHM,2020,4423.47,3.53,11.55,104.92,94.71,4.55,1.05,0.65,0
