date,school_closures,work_place_closures,public_event_cancellations,stay_at_home,restrictions_internal_movements,international_travel_controls,level_0,level_1,level_2,level_3
01/03/2020,15,2,15,1,3,1,167,1,2,15
02/03/2020,18,2,15,1,4,1,164,1,2,18
03/03/2020,19,2,16,1,4,1,162,2,2,19
04/03/2020,19,2,17,1,4,1,162,2,2,19
05/03/2020,22,2,18,1,7,2,157,2,4,22
06/03/2020,24,2,18,1,8,2,155,2,4,24
07/03/2020,25,2,19,1,8,2,154,2,4,25
08/03/2020,26,2,22,1,9,2,154,2,3,26
09/03/2020,30,2,24,1,9,2,150,2,3,30
10/03/2020,33,2,38,1,9,2,146,2,4,33
11/03/2020,39,2,44,1,11,2,139,2,5,39
12/03/2020,49,2,61,1,13,4,127,3,6,49
13/03/2020,63,3,80,2,19,9,114,3,5,63
14/03/2020,69,5,87,2,21,11,106,4,6,69
15/03/2020,77,7,90,2,24,17,97,5,6,77
16/03/2020,114,14,108,3,29,32,62,3,6,114
17/03/2020,118,21,116,3,33,41,57,3,7,118
18/03/2020,127,27,126,8,44,49,50,2,6,127
19/03/2020,138,35,133,10,52,59,38,1,8,138
20/03/2020,145,43,140,11,58,72,28,1,11,145
21/03/2020,148,48,146,12,66,82,25,2,10,148
22/03/2020,148,54,150,13,71,88,25,2,10,148
23/03/2020,154,57,153,16,79,96,18,2,11,154
24/03/2020,160,58,157,17,86,104,14,1,10,160
25/03/2020,161,62,158,18,92,108,13,2,9,161
26/03/2020,163,65,160,18,97,111,12,2,8,163
27/03/2020,165,70,164,19,104,117,10,2,8,165
28/03/2020,167,75,166,20,109,118,9,2,7,167
29/03/2020,169,79,168,20,113,119,8,2,6,169
30/03/2020,171,87,169,21,121,121,6,2,6,171
31/03/2020,172,88,169,23,122,122,5,2,6,172
