Entity,Code,Day,lockdown,model_step
Afghanistan,AFG,01/03/2020,0,0
Afghanistan,AFG,02/03/2020,0,1
Afghanistan,AFG,03/03/2020,0,2
Afghanistan,AFG,04/03/2020,0,3
Afghanistan,AFG,05/03/2020,0,4
Afghanistan,AFG,06/03/2020,0,5
Afghanistan,AFG,07/03/2020,0,6
Afghanistan,AFG,08/03/2020,0,7
Afghanistan,AFG,09/03/2020,0,8
Afghanistan,AFG,10/03/2020,0,9
Afghanistan,AFG,11/03/2020,0,10
Afghanistan,AFG,12/03/2020,0,11
Afghanistan,AFG,13/03/2020,0,12
Afghanistan,AFG,14/03/2020,1,13
Afghanistan,AFG,15/03/2020,1,14
Afghanistan,AFG,16/03/2020,1,15
Afghanistan,AFG,17/03/2020,1,16
Afghanistan,AFG,18/03/2020,1,17
Afghanistan,AFG,19/03/2020,1,18
Afghanistan,AFG,20/03/2020,1,19
Afghanistan,AFG,21/03/2020,1,20
Afghanistan,AFG,22/03/2020,1,21
Afghanistan,AFG,23/03/2020,1,22
Afghanistan,AFG,24/03/2020,1,23
Afghanistan,AFG,25/03/2020,1,24
Afghanistan,AFG,26/03/2020,1,25
Afghanistan,AFG,27/03/2020,1,26
Afghanistan,AFG,28/03/2020,1,27
Afghanistan,AFG,29/03/2020,1,28
Afghanistan,AFG,30/03/2020,1,29
Afghanistan,AFG,31/03/2020,1,30
Albania,ALB,01/03/2020,0,0
Albania,ALB,02/03/2020,0,1
Albania,ALB,03/03/2020,0,2
Albania,ALB,04/03/2020,0,3
Albania,ALB,05/03/2020,0,4
Albania,ALB,06/03/2020,0,5
Albania,ALB,07/03/2020,0,6
Albania,ALB,08/03/2020,0,7
Albania,ALB,09/03/2020,1,8
Albania,ALB,10/03/2020,1,9
Albania,ALB,11/03/2020,1,10
Albania,ALB,12/03/2020,1,11
Albania,ALB,13/03/2020,1,12
Albania,ALB,14/03/2020,1,13
Albania,ALB,15/03/2020,1,14
Albania,ALB,16/03/2020,1,15
Albania,ALB,17/03/2020,1,16
Albania,ALB,18/03/2020,1,17
Albania,ALB,19/03/2020,1,18
Albania,ALB,20/03/2020,1,19
Albania,ALB,21/03/2020,1,20
Albania,ALB,22/03/2020,1,21
Albania,ALB,23/03/2020,1,22
Albania,ALB,24/03/2020,1,23
Albania,ALB,25/03/2020,1,24
Albania,ALB,26/03/2020,1,25
Albania,ALB,27/03/2020,1,26
Albania,ALB,28/03/2020,1,27
Albania,ALB,29/03/2020,1,28
Albania,ALB,30/03/2020,1,29
Albania,ALB,31/03/2020,1,30
Algeria,DZA,01/03/2020,0,0
Algeria,DZA,02/03/2020,0,1
Algeria,DZA,03/03/2020,0,2
Algeria,DZA,04/03/2020,0,3
Algeria,DZA,05/03/2020,0,4
Algeria,DZA,06/03/2020,0,5
Algeria,DZA,07/03/2020,0,6
Algeria,DZA,08/03/2020,0,7
Algeria,DZA,09/03/2020,0,8
Algeria,DZA,10/03/2020,0,9
Algeria,DZA,11/03/2020,0,10
Algeria,DZA,12/03/2020,1,11
Algeria,DZA,13/03/2020,1,12
Algeria,DZA,14/03/2020,1,13
Algeria,DZA,15/03/2020,1,14
Algeria,DZA,16/03/2020,1,15
Algeria,DZA,17/03/2020,1,16
Algeria,DZA,18/03/2020,1,17
Algeria,DZA,19/03/2020,1,18
Algeria,DZA,20/03/2020,1,19
Algeria,DZA,21/03/2020,1,20
Algeria,DZA,22/03/2020,1,21
Algeria,DZA,23/03/2020,1,22
Algeria,DZA,24/03/2020,1,23
Algeria,DZA,25/03/2020,1,24
Algeria,DZA,26/03/2020,1,25
Algeria,DZA,27/03/2020,1,26
Algeria,DZA,28/03/2020,1,27
Algeria,DZA,29/03/2020,1,28
Algeria,DZA,30/03/2020,1,29
Algeria,DZA,31/03/2020,1,30
Angola,AGO,01/03/2020,0,0
Angola,AGO,02/03/2020,0,1
Angola,AGO,03/03/2020,0,2
Angola,AGO,04/03/2020,0,3
Angola,AGO,05/03/2020,0,4
Angola,AGO,06/03/2020,0,5
Angola,AGO,07/03/2020,0,6
Angola,AGO,08/03/2020,0,7
Angola,AGO,09/03/2020,0,8
Angola,AGO,10/03/2020,0,9
Angola,AGO,11/03/2020,0,10
Angola,AGO,12/03/2020,0,11
Angola,AGO,13/03/2020,0,12
Angola,AGO,14/03/2020,0,13
Angola,AGO,15/03/2020,0,14
Angola,AGO,16/03/2020,0,15
Angola,AGO,17/03/2020,0,16
Angola,AGO,18/03/2020,0,17
Angola,AGO,19/03/2020,0,18
Angola,AGO,20/03/2020,0,19
Angola,AGO,21/03/2020,0,20
Angola,AGO,22/03/2020,0,21
Angola,AGO,23/03/2020,0,22
Angola,AGO,24/03/2020,1,23
Angola,AGO,25/03/2020,1,24
Angola,AGO,26/03/2020,1,25
Angola,AGO,27/03/2020,1,26
Angola,AGO,28/03/2020,1,27
Angola,AGO,29/03/2020,1,28
Angola,AGO,30/03/2020,1,29
Angola,AGO,31/03/2020,1,30
Argentina,ARG,01/03/2020,0,0
Argentina,ARG,02/03/2020,0,1
Argentina,ARG,03/03/2020,0,2
Argentina,ARG,04/03/2020,0,3
Argentina,ARG,05/03/2020,0,4
Argentina,ARG,06/03/2020,0,5
Argentina,ARG,07/03/2020,0,6
Argentina,ARG,08/03/2020,0,7
Argentina,ARG,09/03/2020,0,8
Argentina,ARG,10/03/2020,0,9
Argentina,ARG,11/03/2020,0,10
Argentina,ARG,12/03/2020,0,11
Argentina,ARG,13/03/2020,0,12
Argentina,ARG,14/03/2020,0,13
Argentina,ARG,15/03/2020,0,14
Argentina,ARG,16/03/2020,1,15
Argentina,ARG,17/03/2020,1,16
Argentina,ARG,18/03/2020,1,17
Argentina,ARG,19/03/2020,1,18
Argentina,ARG,20/03/2020,1,19
Argentina,ARG,21/03/2020,1,20
Argentina,ARG,22/03/2020,1,21
Argentina,ARG,23/03/2020,1,22
Argentina,ARG,24/03/2020,1,23
Argentina,ARG,25/03/2020,1,24
Argentina,ARG,26/03/2020,1,25
Argentina,ARG,27/03/2020,1,26
Argentina,ARG,28/03/2020,1,27
Argentina,ARG,29/03/2020,1,28
Argentina,ARG,30/03/2020,1,29
Argentina,ARG,31/03/2020,1,30
Australia,AUS,01/03/2020,0,0
Australia,AUS,02/03/2020,0,1
Australia,AUS,03/03/2020,0,2
Australia,AUS,04/03/2020,0,3
Australia,AUS,05/03/2020,0,4
Australia,AUS,06/03/2020,0,5
Australia,AUS,07/03/2020,0,6
Australia,AUS,08/03/2020,0,7
Australia,AUS,09/03/2020,0,8
Australia,AUS,10/03/2020,0,9
Australia,AUS,11/03/2020,0,10
Australia,AUS,12/03/2020,0,11
Australia,AUS,13/03/2020,0,12
Australia,AUS,14/03/2020,0,13
Australia,AUS,15/03/2020,0,14
Australia,AUS,16/03/2020,0,15
Australia,AUS,17/03/2020,0,16
Australia,AUS,18/03/2020,0,17
Australia,AUS,19/03/2020,0,18
Australia,AUS,20/03/2020,0,19
Australia,AUS,21/03/2020,0,20
Australia,AUS,22/03/2020,0,21
Australia,AUS,23/03/2020,0,22
Australia,AUS,24/03/2020,1,23
Australia,AUS,25/03/2020,1,24
Australia,AUS,26/03/2020,1,25
Australia,AUS,27/03/2020,1,26
Australia,AUS,28/03/2020,1,27
Australia,AUS,29/03/2020,1,28
Australia,AUS,30/03/2020,1,29
Australia,AUS,31/03/2020,1,30
Austria,AUT,01/03/2020,0,0
Austria,AUT,02/03/2020,0,1
Austria,AUT,03/03/2020,0,2
Austria,AUT,04/03/2020,0,3
